"LEA_STATE","NMCNTY","total_ct_enr","total_ct_gt_enr","group_enr_ct","group_gt_enr_ct","group_missing_count_lower","group_missing_count_upper","group_missing_perc_lower","group_missing_perc_upper","group","year","region","state_perc_gt","state_nonT1_perc_gt"
"CA","Madera County",32225,145,485,2,27,39,0.931034482758621,0.951219512195122,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Marin County",33674,403,1850,51,67,105,0.567796610169492,0.673076923076923,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Mariposa County",1885,0,25,0,2,2,1,1,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Mendocino County",13204,296,154,6,4,7,0.4,0.538461538461538,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Merced County",58804,2491,3603,368,82,113,0.182222222222222,0.234927234927235,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Modoc County",1006,0,18,0,1,2,1,1,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Mono County",1630,0,15,0,1,1,1,1,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Monterey County",80545,822,2093,51,79,125,0.607692307692308,0.710227272727273,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Napa County",20946,1648,1727,248,3,4,0.0119521912350598,0.0158730158730159,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Nevada County",13584,172,171,3,10,14,0.769230769230769,0.823529411764706,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Orange County",491662,49813,90567,17133,907,1256,0.0502771618625277,0.068301702104519,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Placer County",66661,4408,5814,596,89,123,0.12992700729927,0.171070931849791,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Plumas County",2167,0,19,0,1,2,1,1,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Riverside County",430747,17647,19757,1930,383,530,0.165585819282317,0.215447154471545,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Sacramento County",251214,14424,43394,4530,354,490,0.0724815724815725,0.097609561752988,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Benito County",10899,39,211,4,12,17,0.75,0.80952380952381,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Bernardino County",406405,29792,19911,3595,263,364,0.0681700362882322,0.091942409699419,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Diego County",503351,51507,49376,9890,511,707,0.0491298913566003,0.0667169953760498,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Francisco County",57870,4,21439,2,1305,1807,0.998469778117827,0.998894416804865,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Joaquin County",150236,4984,21569,1541,612,847,0.284254528564793,0.354690117252931,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Luis Obispo County",34701,1234,954,50,32,44,0.390243902439024,0.468085106382979,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","San Mateo County",94157,3190,22214,1105,818,1132,0.425377015080603,0.506034868126956,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Santa Barbara County",70716,4762,1736,241,22,30,0.0836501901140684,0.11070110701107,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Santa Clara County",272808,4689,92205,1697,4926,6821,0.743771704665559,0.800774829772247,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Santa Cruz County",38853,1872,1179,60,51,71,0.459459459459459,0.541984732824427,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Shasta County",25897,1921,1017,149,42,58,0.219895287958115,0.280193236714976,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Sierra County",410,0,3,0,0,0,NA,NA,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Siskiyou County",6334,92,126,3,7,10,0.7,0.769230769230769,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Solano County",64850,3511,7755,657,196,271,0.229777256740914,0.292025862068966,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Sonoma County",68490,2150,2594,144,83,114,0.365638766519824,0.441860465116279,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Stanislaus County",112510,6359,5223,660,113,156,0.146183699870634,0.191176470588235,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Sutter County",22560,617,3070,133,54,126,0.288770053475936,0.486486486486487,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Tehama County",10941,0,116,0,7,10,1,1,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Trinity County",1424,25,56,0,3,5,1,1,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Tulare County",105179,1402,2913,59,139,192,0.702020202020202,0.764940239043825,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Tuolumne County",5726,130,94,2,4,6,0.666666666666667,0.75,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Ventura County",149895,8687,8595,1227,135,187,0.0991189427312775,0.132248939179632,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
"CA","Yolo County",31347,2573,3689,319,97,134,0.233173076923077,0.295805739514349,"Asian",2017,"Pacific",0.0608958070960491,0.084325689438006
